"Gilt Name","Close of Business Date","ISIN","Type","Coupon","Maturity","Clean Price","Dirty Price","Yield","Mod Duration","Accrued Interest"
"UKT 4.75 12/38","17/11/2023","GB00B00NY175","Conventional","4.750","07/12/2038","103.680","105.834372","4.412522","10.546673","2.154372"
"UKT 1.125 01/39","17/11/2023","GB00BLPK7334","Conventional","1.125","31/01/2039","63.640","63.982391","4.440550","13.242826","0.342391"
"UKT 4.25 09/39","17/11/2023","GB00B3KJDS62","Conventional","4.250","07/09/2039","97.680","98.544011","4.455628","11.256266","0.864011"
"UKT 4.25 12/40","17/11/2023","GB00B6460505","Conventional","4.250","07/12/2040","97.170","99.097596","4.489163","11.717552","1.927596"
"UKT 1.25 10/41","17/11/2023","GB00BJQWYH73","Conventional","1.250","22/10/2041","60.490","60.589044","4.480214","15.060860","0.099044"
"UKT 4.5 12/42","17/11/2023","GB00B1VWPJ53","Conventional","4.500","07/12/2042","99.760","101.800984","4.518758","12.438364","2.040984"
"UKT 4.75 10/43","17/11/2023","GB00BPJJKP77","Conventional","4.750","22/10/2043","102.470","102.521913","4.560158","12.882872","0.051913"
"UKT 3.25 01/44","17/11/2023","GB00B84Z9V04","Conventional","3.250","22/01/2044","82.970","84.038614","4.548614","13.852449","1.068614"
"UKT 3.5 01/45","17/11/2023","GB00BN65R313","Conventional","3.500","22/01/2045","85.650","86.800815","4.564018","14.051032","1.150815"
"UKT 0.875 01/46","17/11/2023","GB00BNNGP775","Conventional","0.875","31/01/2046","49.200","49.466304","4.526501","18.543367","0.266304"
"UKT 4.25 12/46","17/11/2023","GB00B128DP45","Conventional","4.250","07/12/2046","95.610","97.537596","4.559616","14.098886","1.927596"
"UKT 1.5 07/47","17/11/2023","GB00BDCHBW80","Conventional","1.500","22/07/2047","56.210","56.703207","4.536544","17.858159","0.493207"
"UKT 1.75 01/49","17/11/2023","GB00BFWFPP71","Conventional","1.750","22/01/2049","58.570","59.145408","4.523644","18.046426","0.575408"
"UKT 4.25 12/49","17/11/2023","GB00B39R3707","Conventional","4.250","07/12/2049","95.440","97.367596","4.550490","15.085309","1.927596"
